IR_PARAMETER_DESC,PARENT_CATEGORY,SUB_CATEGORY
Discharge flow as % of stream flow,Uncommon,Uncommon
"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin",Uncommon,Uncommon
Dichloromethane,Uncommon,Uncommon
"Phosphate, ortho [as P]",Uncommon,Uncommon
"Chromium, trivalent total recoverable",Uncommon,Uncommon
Diquat,Uncommon,Uncommon
"Manganese, total recoverable",Uncommon,Uncommon
"Uranium 238, total",Uncommon,Uncommon
"Cerium, total",Uncommon,Uncommon
Dinoseb,Uncommon,Uncommon
"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",Uncommon,Uncommon
"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",Uncommon,Uncommon
"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",Uncommon,Uncommon
"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",Uncommon,Uncommon
"1,2,3,7,8-Pentachlorodibenzofuran",Uncommon,Uncommon
"2,3,4,7,8-Pentachlorodibenzofuran",Uncommon,Uncommon
"1,2,3,4,7,8-Hexachlorodibenzofuran",Uncommon,Uncommon
"1,2,3,6,7,8-Hexachlorodibenzofuran",Uncommon,Uncommon
"1,2,3,7,8,9-Hexachlorodibenzofuran",Uncommon,Uncommon
"2,3,4,6,7,8-Hexachlorodibenzofuran",Uncommon,Uncommon
"1,2,3,4,6,7,8-Heptachlorodibenzofuran",Uncommon,Uncommon
"1,2,3,4,7,8,9-Heptachlorodibenzofuran",Uncommon,Uncommon
"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",Uncommon,Uncommon
Chlorophyll A,Uncommon,Uncommon
Monochlorobenzenes,Uncommon,Uncommon
.delta.-BHC,Uncommon,Uncommon
Acenaphthylene,Uncommon,Uncommon
Acenaphthene,Uncommon,Uncommon
Anthracene,Uncommon,Uncommon
Butyl benzyl phthalate,Uncommon,Uncommon
