CWNS_ID,DUMMY_ID,FACILITY_NAME,PERMIT_NUMBER,TOTAL_RES_POPULATION_2022,FACILITY_TYPE,CURRENT_DESIGN_FLOW,COUNTY_NAME,STATE_CODE,LATITUDE,LONGITUDE,CITY
30000152001,30000152001t1,CHOTEAU LAGOONS (Treatment Plant),['MT0020052'],1952.0,Treatment Plant,0.3,,MT,47.7956,-112.1783,Choteau
17000402007,17000402007,Chatham Sewers,,13159.0,Collection: Separate Sewers,,,IL,39.681562,-89.699936,Chatham
37008407001,37008407001,STANFIELD COLL. SYS.,,1428.0,Collection: Separate Sewers,,,NC,35.235525,-80.422153,Stanfield
8209000014,8209000014t1,Amherst Unincorp Area (Treatment Plant),['11111911'],229.0,Treatment Plant,0.02,,CO,40.6817,-102.1679,Holyoke
8209000014,8209000014t0,Amherst Unincorp Area (Collection: Separate Sewers),['11111911'],229.0,Collection: Separate Sewers,0.02,,CO,40.6817,-102.1679,Holyoke
8209000085,8209000085t0,"Paonia, Town of (Collection: Separate Sewers)",['CO0047431'],1792.0,Collection: Separate Sewers,0.45,Delta,CO,38.855556,-107.625,Paonia
8209000085,8209000085t1,"Paonia, Town of (Treatment Plant)",['CO0047431'],1792.0,Treatment Plant,0.45,Delta,CO,38.855556,-107.625,Paonia
12000700062,12000700062,Taylor County OSDS Rehab,,5493.18,Onsite Wastewater Treatment System,,Taylor,FL,30.102366,-83.578491,
12000701035,12000701035,Lee County OSTDS New,,0.0,Onsite Wastewater Treatment System,,Lee,FL,26.608174,-81.798706,
12000701067,12000701067,Washington County OSTDS New,,0.0,Onsite Wastewater Treatment System,,Washington,FL,30.62255,-85.652161,
39005012002,39005012002,Maumee MS4,['OHQ000002'],,Phase II MS4,,,OH,41.570556,-83.6525,Welch
19000101002,19000101002,BREDA STORMWATER,['IA0056103'],,Phase II MS4,,,IA,42.1972,-94.9775,Breda
48008045807,48008045807,San Antonio Stormwater System,['TXS001901'],,Phase I MS4,,,TX,29.4221,-98.4839,San Antonio
12000017025,12000017025,North Miami Beach SW,['FLS267171'],,Phase I MS4,,Miami-Dade,FL,25.93244,-80.16238,North Miami Beach
55007207002,55007207002,Vienna UD #2 - CS,['WIG003171'],290.0,Collection: Separate Sewers,,,WI,43.22368231,-89.34061785,De Forest
25001010001,25001010001,Pelham On-site Septic Systems,,1139.68,Onsite Wastewater Treatment System,,,MA,42.394051,-72.408829,
25001250001,25001250001,Townsend On-site Septic Systems,,9035.84,Onsite Wastewater Treatment System,,,MA,42.668048,-71.695404,Taylor
39001081002,39001081002,Brook Park Sewer System,,18595.0,Collection: Separate Sewers,,Cuyahoga,OH,41.399444,-81.818333,Brook Park
8000078001,8000078001t0,CLEAR CREEK Regional WWTP (Collection: Separate Sewers),['CO0046574'],1089.0,Collection: Separate Sewers,0.14,,CO,39.71803,-105.407757,Evergreen
8000078001,8000078001t1,CLEAR CREEK Regional WWTP (Treatment Plant),['CO0046574'],1089.0,Treatment Plant,0.14,,CO,39.71803,-105.407757,Evergreen
8000078001,8000078001t2,CLEAR CREEK Regional WWTP (Biosolids Handling Facility),['CO0046574'],1089.0,Biosolids Handling Facility,0.14,,CO,39.71803,-105.407757,Evergreen
